id,Quarter ending,State,Unit,Value
249,2012 Q3,Victoria,$ per megawatt hour,63
250,2012 Q4,New South Wales,$ per megawatt hour,55
251,2012 Q4,Queensland,$ per megawatt hour,57
252,2012 Q4,South Australia,$ per megawatt hour,60
253,2012 Q4,Tasmania,$ per megawatt hour,47
254,2012 Q4,Victoria,$ per megawatt hour,67
255,2013 Q1,New South Wales,$ per megawatt hour,52
256,2013 Q1,Queensland,$ per megawatt hour,105
257,2013 Q1,South Australia,$ per megawatt hour,64
258,2013 Q1,Tasmania,$ per megawatt hour,51
259,2013 Q1,Victoria,$ per megawatt hour,57
260,2013 Q2,New South Wales,$ per megawatt hour,56
261,2013 Q2,Queensland,$ per megawatt hour,60
262,2013 Q2,South Australia,$ per megawatt hour,106
263,2013 Q2,Tasmania,$ per megawatt hour,47
264,2013 Q2,Victoria,$ per megawatt hour,57
265,2013 Q3,New South Wales,$ per megawatt hour,56
266,2013 Q3,Queensland,$ per megawatt hour,60
267,2013 Q3,South Australia,$ per megawatt hour,70
268,2013 Q3,Tasmania,$ per megawatt hour,47
269,2013 Q3,Victoria,$ per megawatt hour,55
270,2013 Q4,New South Wales,$ per megawatt hour,55
271,2013 Q4,Queensland,$ per megawatt hour,59
272,2013 Q4,South Australia,$ per megawatt hour,71
273,2013 Q4,Tasmania,$ per megawatt hour,41
274,2013 Q4,Victoria,$ per megawatt hour,50
275,2014 Q1,New South Wales,$ per megawatt hour,51
276,2014 Q1,Queensland,$ per megawatt hour,71
277,2014 Q1,South Australia,$ per megawatt hour,78
278,2014 Q1,Tasmania,$ per megawatt hour,41
279,2014 Q1,Victoria,$ per megawatt hour,64
280,2014 Q2,New South Wales,$ per megawatt hour,50
281,2014 Q2,Queensland,$ per megawatt hour,51
282,2014 Q2,South Australia,$ per megawatt hour,53
283,2014 Q2,Tasmania,$ per megawatt hour,39
284,2014 Q2,Victoria,$ per megawatt hour,48
285,2014 Q3,New South Wales,$ per megawatt hour,40
286,2014 Q3,Queensland,$ per megawatt hour,32
287,2014 Q3,South Australia,$ per megawatt hour,48
288,2014 Q3,Tasmania,$ per megawatt hour,36
289,2014 Q3,Victoria,$ per megawatt hour,38
290,2014 Q4,New South Wales,$ per megawatt hour,33
291,2014 Q4,Queensland,$ per megawatt hour,68
292,2014 Q4,South Australia,$ per megawatt hour,32
293,2014 Q4,Tasmania,$ per megawatt hour,40
294,2014 Q4,Victoria,$ per megawatt hour,28
295,2015 Q1,New South Wales,$ per megawatt hour,35
296,2015 Q1,Queensland,$ per megawatt hour,107
297,2015 Q1,South Australia,$ per megawatt hour,40
298,2015 Q1,Tasmania,$ per megawatt hour,39
299,2015 Q1,Victoria,$ per megawatt hour,28
300,2015 Q2,New South Wales,$ per megawatt hour,37
301,2015 Q2,Queensland,$ per megawatt hour,32
302,2015 Q2,South Australia,$ per megawatt hour,48
303,2015 Q2,Tasmania,$ per megawatt hour,34
304,2015 Q2,Victoria,$ per megawatt hour,32
305,2015 Q3,New South Wales,$ per megawatt hour,46
306,2015 Q3,Queensland,$ per megawatt hour,45
307,2015 Q3,South Australia,$ per megawatt hour,69
308,2015 Q3,Tasmania,$ per megawatt hour,38
309,2015 Q3,Victoria,$ per megawatt hour,39
310,2015 Q4,New South Wales,$ per megawatt hour,45
311,2015 Q4,Queensland,$ per megawatt hour,43
312,2015 Q4,South Australia,$ per megawatt hour,59
313,2015 Q4,Tasmania,$ per megawatt hour,80
314,2015 Q4,Victoria,$ per megawatt hour,43
315,2016 Q1,New South Wales,$ per megawatt hour,46
316,2016 Q1,Queensland,$ per megawatt hour,89
